## DiploLocus-likelihood. u01 = 1.25e-08, u10 = 1.25e-08, Ne = 5000.0
## Analyze 51 pairs of sel. coef.
## VCF: Ex2_UK_v54.1_all_chr2_135e6-137e6.vcf
## meta info: Ex2_v54_UK_1240K_noFam_strictPASS_from4500.info
## generation time 28.1 units,## Computing likelihoods for 450 loci at 94 time points: 0, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50, 51, 52, 55, 56, 57, 58, 59, 60, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 94, 96, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 129
##    Max sample sizes at each time: 2, 1, 2, 1, 1, 3, 6, 2, 1, 5, 4, 2, 3, 4, 3, 3, 6, 1, 2, 2, 3, 5, 4, 2, 1, 1, 1, 1, 1, 1, 1, 2, 5, 2, 2, 1, 4, 4, 2, 2, 2, 1, 2, 3, 3, 2, 4, 5, 1, 3, 5, 4, 1, 8, 3, 4, 2, 2, 5, 5, 4, 1, 3, 9, 5, 28, 51, 18, 21, 6, 9, 7, 14, 6, 3, 5, 4, 7, 1, 4, 1, 4, 30, 3, 9, 7, 1, 2, 1, 3, 3, 42, 1, 1
## Assume constant selection pressure throughout the duration considered
(-0.25, -0.5)	(-0.1703230172644903, -0.3406460345289806)	(-0.11603972084031948, -0.23207944168063896)	(-0.07905694150420947, -0.15811388300841894)	(-0.053860867250797105, -0.10772173450159421)	(-0.03669498169055174, -0.07338996338110348)	(-0.024999999999999998, -0.049999999999999996)	(-0.017032301726449036, -0.03406460345289807)	(-0.011603972084031947, -0.023207944168063894)	(-0.007905694150420948, -0.015811388300841896)	(-0.005386086725079711, -0.010772173450159421)	(-0.003669498169055176, -0.007338996338110352)	(-0.0024999999999999996, -0.004999999999999999)	(-0.0017032301726449036, -0.003406460345289807)	(-0.0011603972084031954, -0.0023207944168063908)	(-0.0007905694150420947, -0.0015811388300841895)	(-0.0005386086725079711, -0.0010772173450159421)	(-0.0003669498169055176, -0.0007338996338110352)	(-0.00024999999999999995, -0.0004999999999999999)	(-0.00017032301726449035, -0.0003406460345289807)	(-0.00011603972084031954, -0.00023207944168063908)	(-7.905694150420947e-05, -0.00015811388300841894)	(-5.3860867250797105e-05, -0.00010772173450159421)	(-3.669498169055176e-05, -7.338996338110351e-05)	(-2.5e-05, -5e-05)	(0.0, 0.0)	(2.5e-05, 5e-05)	(3.669498169055176e-05, 7.338996338110351e-05)	(5.3860867250797105e-05, 0.00010772173450159421)	(7.905694150420947e-05, 0.00015811388300841894)	(0.00011603972084031942, 0.00023207944168063884)	(0.0001703230172644902, 0.0003406460345289804)	(0.00024999999999999995, 0.0004999999999999999)	(0.00036694981690551723, 0.0007338996338110345)	(0.0005386086725079705, 0.001077217345015941)	(0.0007905694150420947, 0.0015811388300841895)	(0.001160397208403194, 0.002320794416806388)	(0.0017032301726449019, 0.0034064603452898037)	(0.0024999999999999996, 0.004999999999999999)	(0.003669498169055172, 0.007338996338110344)	(0.005386086725079705, 0.01077217345015941)	(0.007905694150420948, 0.015811388300841896)	(0.011603972084031942, 0.023207944168063883)	(0.01703230172644902, 0.03406460345289804)	(0.024999999999999998, 0.049999999999999996)	(0.03669498169055172, 0.07338996338110344)	(0.05386086725079705, 0.1077217345015941)	(0.07905694150420947, 0.15811388300841894)	(0.11603972084031942, 0.23207944168063885)	(0.17032301726449017, 0.34064603452898035)	(0.25, 0.5)	ID
-401.0655682304223	-323.9908521773207	-245.41849364518183	-184.50060156100508	-141.20208315632658	-113.45950809884208	-97.25022636102362	-88.26629168699742	-83.37237267389132	-80.68621074041397	-79.1782624881115	-78.30610485052408	-77.78547666901845	-77.46534474740535	-77.2634057363922	-77.13336374032387	-77.04827600951725	-76.99193817921343	-76.95431400993581	-76.92903324884921	-76.91197327522087	-76.90042641931211	-76.8925949085156	-76.88727573627955	-76.88365942742676	-76.87594961741304	-76.86826796398437	-76.86468416006639	-76.85943501757582	-76.85175438122845	-76.84053257417094	-76.82417289569035	-76.80040086838875	-76.76602713792838	-76.716692028443	-76.6466905649219	-76.54914798848641	-76.41721312955515	-76.2478369219526	-76.05170705781124	-75.87729505293159	-75.86630468365698	-76.37649171412406	-78.23971554427168	-83.25297052463742	-94.92335023366223	-119.00636278469682	-162.32057267506448	-227.48178634046803	-305.55562606453765	-382.6997837007877	2_135000500_rs1257186
-346.402892131828	-280.28554397702214	-209.38551563415356	-154.38705140271114	-118.63708749180503	-97.75611746939644	-86.53885521209945	-80.89346197752204	-78.18913059341838	-76.94454807759948	-76.39412660864244	-76.16297236229282	-76.07391348636109	-76.0454825008678	-76.04122278146691	-76.04537745195648	-76.05149668353626	-76.05719621675235	-76.06179094764397	-76.0652520312782	-76.06776367530597	-76.06954618857397	-76.0707937307878	-76.07165905288645	-76.07225573064285	-76.07355064132531	-76.07487200645198	-76.07549922413375	-76.07643034249715	-76.0778196384199	-76.07990755058098	-76.08307715558135	-76.08795576853218	-76.09560445227844	-76.10788342777212	-76.1281771753268	-76.16286776733949	-76.2243857321576	-76.33762225049041	-76.55356251800231	-76.978517544099	-77.83706796882575	-79.60708549427682	-83.30306892780106	-91.03336846020146	-106.9232697903021	-138.0122884259889	-193.25502505233567	-273.80788546785834	-340.1384020507255	-394.2731216093008	2_135005832_rs1257196
-305.0550976001785	-252.48381308618409	-195.85863941721175	-148.95834553249685	-116.0889133839698	-95.49546045792285	-83.66166145232786	-77.23247087290837	-73.83418526681425	-72.04671714256492	-71.09557749723415	-70.57771660545359	-70.28718329612158	-70.1187101681462	-70.01777458986045	-69.95548470652341	-69.91606902044279	-69.8906229404874	-69.87394155555613	-69.86288107952215	-69.85548711308397	-69.8505153638031	-69.84715866115612	-69.84488593275474	-69.84334411789797	-69.8400661077882	-69.83681246654776	-69.83529878395663	-69.83308666467488	-69.8298605403749	-69.82517011341497	-69.81838223661812	-69.80862753683469	-69.7947593416055	-69.77537400253944	-69.74901535711729	-69.71485402060378	-69.67451030415623	-69.63653545155357	-69.62695312463147	-69.71346146786712	-70.0601443071278	-71.04925818394898	-73.54477533022533	-79.42518764083113	-92.48425142008632	-119.22214173372336	-166.34204565832505	-224.76399560202412	-276.2808514100729	-322.14497386700424	2_135007736_rs1257197
-325.1970439743639	-268.554514844624	-206.2449404681123	-155.00229443603135	-119.84623076805532	-98.38386676887431	-86.27093455300917	-79.75902534516813	-76.33601543478197	-74.53931055973837	-73.58284434173957	-73.06091203196563	-72.76709950070354	-72.59605880707063	-72.49318706543413	-72.429480996503	-72.38905209896048	-72.36289221752804	-72.34571327833602	-72.33430849574495	-72.32667744977708	-72.32154300613331	-72.31807491282134	-72.31572603928129	-72.31413222838539	-72.31074274371171	-72.30737718466766	-72.30581099434586	-72.30352162751866	-72.30018173748691	-72.29532349922202	-72.28828751870445	-72.27816476112265	-72.26374783954925	-72.24353844473592	-72.21592901808025	-72.17983950899136	-72.13645585206964	-72.09353201560742	-72.07552413651273	-72.14680138527758	-72.46378668384735	-73.38970484918018	-75.73816797406575	-81.2501350125803	-93.36093605136715	-117.87618981931588	-162.0965219747239	-230.2978843076233	-310.43437342232113	-366.8792129066105	2_135008041_rs1257198
-302.78419110356214	-243.86982199743215	-182.58753465965182	-136.6247373355188	-105.95575863295517	-87.2386036562235	-76.77283856599296	-71.28915440720029	-68.53020380026697	-67.17147273833247	-66.50748627282142	-66.18233875606977	-66.02153172417853	-65.94064308489844	-65.89898586358153	-65.87689264691461	-65.86477253777322	-65.85788017957478	-65.85381932514628	-65.85134777347261	-65.8498010135588	-65.84881088895217	-65.84816589073172	-65.84774018574753	-65.84745652916097	-65.84686748955635	-65.84630206100971	-65.84604566184497	-65.84567868118653	-65.84516020064675	-65.8444426499171	-65.84348313167658	-65.84227674945852	-65.8409415996792	-65.83992149984212	-65.84045235019957	-65.84561276857012	-65.86266230008576	-65.90820981366028	-66.0195986215998	-66.27994188286722	-66.87303555777832	-68.2028305548392	-71.14710390023177	-77.56216781992485	-91.1314177929229	-118.18257018049964	-165.72408897421013	-221.64160854372793	-267.35047509695454	-308.0890384019118	2_135015347_rs1257220
-213.9319419460173	-176.37280437471549	-137.14522753261383	-104.91980491022774	-81.9935481582591	-67.28749882433125	-58.58777682578673	-53.692329152035526	-50.996123629315925	-49.50934552808527	-48.67535639521949	-48.19508063250914	-47.91010471678945	-47.73597700174516	-47.62676582042643	-47.5567720877697	-47.51114505271721	-47.4810191164711	-47.4609410004495	-47.44746951461274	-47.43838795713317	-47.4322455712672	-47.42808162116615	-47.4252544169892	-47.42333275100632	-47.41923706021728	-47.415157990817	-47.413255513139745	-47.410469648906236	-47.40639476297688	-47.40044425988269	-47.39177610051698	-47.37919525026863	-47.36103593351855	-47.335043846378056	-47.29832255440593	-47.24751397047058	-47.179628083440214	-47.09449658401332	-47.001088406643895	-46.932752388989904	-46.98266812238997	-47.383823068804155	-48.6817627212686	-52.07577520936054	-59.96519831270876	-76.42211581593077	-106.61122842677351	-153.58494768097802	-190.21433732909566	-219.33421595444048	2_135016618_rs1257221
-187.6095175586707	-162.87705611996773	-136.88675538112142	-109.5553780616637	-85.62929173750958	-70.77896083261737	-63.545896912477964	-60.5148374157775	-59.42356092313801	-59.139199121131654	-59.15586254623221	-59.26299771555613	-59.379648704805696	-59.47909413494926	-59.55601453492909	-59.61264194859158	-59.65317048162458	-59.681683205343276	-59.701525741764094	-59.71523751431453	-59.72466880019566	-59.7311357955238	-59.73556097532539	-59.73858475455389	-59.74064897945521	-59.745072880105106	-59.74951213352165	-59.75159408218754	-59.7546560461027	-59.759163492287186	-59.76580772502216	-59.77562085666037	-59.79015528789026	-59.81177017447782	-59.84410124482836	-59.892855849738	-59.96720437518664	-60.08229715020241	-60.26395183355603	-60.55757521465267	-61.045327620680474	-61.878963033200414	-63.34070981916285	-65.94746899881608	-70.59809702560625	-78.6850640879147	-91.91310472694141	-111.59772668689133	-137.91653148938803	-167.97474218076476	-197.35659040977296	2_135017074_rs16830277
-555.9823482746482	-460.2591754872597	-339.95959529172455	-235.15372219038548	-165.18328470618044	-126.37611004987707	-107.15122340552857	-98.30270451508545	-94.45433349683793	-92.8833188654217	-92.30608399273163	-92.14174128197952	-92.13568798893702	-92.18053667178876	-92.23374676902246	-92.28048624659894	-92.31718798568181	-92.34444452673198	-92.36405840712611	-92.37790553294514	-92.387564174573	-92.39424879457272	-92.39885135723858	-92.40200950107892	-92.40417154072867	-92.40882158721017	-92.41351021914254	-92.41571680317111	-92.41897091495125	-92.42378023420544	-92.43091029744461	-92.44152861592309	-92.4574432957999	-92.48151155370103	-92.5183646084976	-92.57574070571297	-92.66701847039566	-92.81616823683844	-93.06764233397416	-93.50642388995982	-94.2989387755561	-95.7762183513069	-98.59951393469301	-104.07331742958499	-114.6683179598272	-134.65168547760467	-170.14496650611784	-227.43174594850686	-311.0941792185825	-423.2909151541189	-532.7490136520489	2_135017617_rs7586139
-180.46246281099016	-156.01610904145522	-131.2626875270116	-104.67058642303961	-81.62783196958506	-68.0425888795546	-61.83276140437866	-59.48887016082051	-58.83811619360037	-58.83522920266716	-59.033526969645635	-59.259326270156244	-59.45436397920991	-59.60604584967884	-59.71800502071279	-59.798246883635414	-59.85474375267931	-59.89407969050448	-59.92126999975502	-59.939975667391145	-59.95280363994605	-59.961582163281825	-59.967580957872755	-59.971676266156024	-59.97447025429185	-59.98045343764338	-59.98645100671521	-59.98926160222402	-59.99339269000214	-59.9994685691519	-60.008413166014236	-60.02159893257393	-60.04107544141783	-60.069926465601405	-60.11284024910099	-60.177045092191086	-60.27389207140206	-60.42162026383047	-60.650338091704704	-61.01122386011125	-61.59377184234584	-62.558070816063235	-64.19355157004634	-67.01806754894099	-71.91695350079033	-80.25169655995693	-93.69935358682093	-113.52123486720757	-139.520776091941	-168.15219604729413	-195.15218072592003	2_135020700_rs3791268
-106.36344781051926	-90.55497770970914	-77.89362536339702	-65.07636587534924	-52.917273254920396	-44.77219449730906	-40.68711135962499	-38.97309355044798	-38.362704589794085	-38.20813207814902	-38.221452802779254	-38.284094887421666	-38.35103857307357	-38.40769745093127	-38.4513560598143	-38.4834240733637	-38.50634266949769	-38.5224515340021	-38.533655163307934	-38.5413940498536	-38.546715586380095	-38.550363869353326	-38.55285997293272	-38.55456544624104	-38.55572964420385	-38.55822448849187	-38.5607277424814	-38.561901648894434	-38.56362803842141	-38.566169204612414	-38.56991457196747	-38.575445270120845	-38.58363478018446	-38.59580924125025	-38.614009666052624	-38.64143423757205	-38.683209362843755	-38.74777797734173	-38.84947062660197	-39.01336481202139	-39.28454692575919	-39.745604363006784	-40.54845067802883	-41.967279060017546	-44.46996153330878	-48.765785560703954	-55.71343282350862	-65.93046137636216	-79.03964145669269	-94.05554876571317	-110.22151434968018	2_135022906_rs6735741
